Aclilosa [Public]|That's one huge hand!  
Elica [Public]| I feel like we're just tiny creatures in front of some giant being.  
Bolo [Public]| So what? I just want my cozy little nest.  
David [Public]| Is it really that hard to make money for me? !
Hallar [System]| The game is about to end!  
Hallar [System]| The boss has lost control of the situation!  
Hallar [System]| He will appear three times tomorrow,  
Hallar [System]| He will appear three times tomorrow,
Hallar [System]| He will appear three times tomorrow,    
Hallar [System]| but the truth is, 
Hallar [System]| he still won't be able to resolve the conflicts between the floors.
